,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30
Top1,power(458),sensor(351),surface(300),energy(442),antenna(577),steel(499),film(843),oil(151),crack(256),acid(81),service(467),water(122),cell(224),cell(562),switching(57),image(547),battery(294),catalyst(296),wireless(219),roll(79),algorithm(382),water(279),speed(258),memory(197),quality(105),cu(439),heat(182),nanoparticles(210),human(151),power(413)
Top2,grid(335),chemosensor(222),alloy(289),power(262),band(152),strength(461),deposition(346),printing(137),pipe(203),food(69),security(423),risk(107),hydrogel(210),protein(314),derailment(36),algorithm(257),carbon(293),carbon(251),signal(191),one(58),optimization(218),rainfall(244),safety(242),buffer(78),antioxidant(95),bonding(224),simulation(121),synthesis(199),blood(120),dc(384)
Top3,controller(249),fluorescence(209),particle(201),willingness(225),mm(106),strain(313),oxide(337),emulsion(116),pressure(173),water(63),smart(352),organic(76),tissue(177),effect(282),pd(34),neural(238),electrochemical(264),glucose(237),sensor(186),trust(55),machine(118),climate(220),robot(237),license(61),customer(93),surface(192),mesh(116),oxide(167),physical(108),converter(363)
Top4,voltage(234),cu(185),powder(194),valuation(209),transparent(97),tensile(271),temperature(315),waterproofing(82),velocity(142),chain(59),iot(339),chemical(69),drug(163),drug(229),resistive(33),object(221),ion(238),cell(208),power(181),active(51),simulation(102),drought(178),track(223),storage(58),content(92),copper(190),injection(115),electron(155),male(105),voltage(262)
Top5,electric(192),zn(175),material(181),public(205),ghz(86),specimen(246),thin(315),material(81),surface(120),content(48),user(310),wastewater(68),acid(108),expression(179),formic(30),deep(204),redox(197),nanotube(193),energy(169),preview(50),path(98),precipitation(138),railway(214),state(54),product(84),ag(151),temperature(110),tio(153),adult(102),circuit(166)
Top6,state(191),fluorescent(172),composite(172),economic(185),radiation(79),temperature(183),atomic(257),pc(62),shear(109),amino(45),internet(297),removal(67),engineering(103),human(159),industrial(27),video(141),electrolyte(180),cnt(163),wave(159),trading(50),clustering(97),temperature(134),torque(197),charge(52),underwater(83),particle(147),pressure(108),doped(149),female(98),module(131)
Top7,inverter(179),ion(170),laser(171),cost(169),bandwidth(74),material(178),cell(213),interfacial(58),material(107),color(43),thing(238),stream(65),starch(90),acid(157),behavior(27),camera(128),lithium(164),gox(154),virtual(137),also(47),vector(91),management(111),walking(124),operation(50),cement(64),plasma(102),numerical(101),zno(144),health(91),electric(125)
Top8,simulation(151),water(167),metal(167),government(167),ultra(69),reinforced(141),al(200),manufacturing(57),damage(107),solubility(41),architecture(223),carbon(61),property(89),skin(128),collision(25),color(103),material(158),fuel(143),noise(94),public(46),decision(84),gcms(69),rail(118),circuit(47),effect(61),temperature(86),cooling(99),pyrolysis(140),risk(79),switching(99)
Top9,energy(138),sensing(154),property(167),emission(163),impedance(68),property(135),property(189),gene(56),elastic(105),rice(41),environment(216),landfill(51),bone(81),antioxidant(113),nannan(22),imaging(96),membrane(158),oxidation(137),motion(93),taylor(46),search(83),projection(67),train(117),neural(46),extraction(52),mass(85),shell(93),size(133),aged(77),drive(89)
Top10,filter(135),limit(150),polymer(159),wtp(162),db(66),effect(126),electrical(158),degradation(52),fracture(95),ph(40),blockchain(203),waste(49),ph(74),inflammatory(103),soft(22),compression(76),electrode(157),catalytic(130),mimo(87),part(45),cluster(76),station(67),motor(106),nand(45),wave(52),jet(73),fluid(90),microscopy(133),body(75),ac(89)
