,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20
0,model,reality,learn,culture,project,game,application,right,student,recommendation,metaverse,system,effect,new,frame,design,e,technology,learn,system
1,specify,avatar,student,simulation,team,online,user,paper,study,web,home,immersive,service,communication,user,digital,metaverse,mixed,education,user
2,animation,paper,learning,game,technology,community,content,ethnicity,learn,online,user,information,innovation,cloud,important,communication,instant,chinese,project,museum
3,meta,data,teach,tackle,metaverses,character,agent,game,research,base,system,metaverse,art,internet,experience,behavior,internet,film,space,server
4,architecture,human,traditional,problem,organizational,k,data,real,sl,process,learn,user,metaverse,network,method,ip,currency,space,art,open
5,universal,digital,offer,element,language,place,object,principle,experience,network,base,display,product,social,paper,metaverse,message,new,paper,software
6,language,research,base,key,capability,play,end,agency,social,social,automation,metadata,create,e,approach,designer,com,future,approach,visit
7,multiple,ethic,educational,make,dimensional,sign,service,avatar,education,friendly,interface,represent,content,tool,write,study,open,asian,teach,source
8,data,representation,space,traditional,metaverse,gender,low,trend,activity,interface,device,model,measure,digital,propose,medium,force,image,enhancement,time
9,package,interaction,approach,due,create,animate,immersive,development,user,collaborative,mode,general,adoption,awareness,interest,influence,present,asia,base,service
10,include,identity,strategy,learn,new,mediation,path,towards,real,link,control,little,study,compute,compare,research,solution,model,tool,expect
11,object,interactive,teacher,attempt,human,computer,metaverse,web,provide,technology,study,communication,com,sale,task,well,engineering,element,st,particular
12,metaverse,real,synthetic,provide,communication,role,technology,always,online,content,provide,natural,secondlife,user,generate,function,simple,medium,simulation,paper
13,extension,argument,allow,dimension,application,white,region,person,group,experimental,preference,several,form,kind,system,cognitive,protocol,relate,pedagogical,performance
14,many,post,exchange,company,platform,player,present,designer,technology,surveillance,e,deployment,user,computer,describe,internet,persistent,rise,describe,sensor
15,component,regard,practice,creation,share,science,search,ethical,base,tag,transformative,support,ict,get,exist,communicative,interoperability,fiction,educational,springer
16,layer,biological,enable,organization,interaction,economic,multi,player,participant,business,art,process,twitter,ieee,variety,test,usually,well,current,automatic
17,format,simulation,global,complex,behavior,manage,result,people,develop,learn,author,reality,interplay,show,chat,present,service,techno,evolve,verlag
18,interactive,time,service,issue,take,chapter,model,regard,result,scott,information,human,information,project,exploit,focus,task,science,avatar,analyze
19,improve,network,new,often,understanding,employ,heritage,basis,work,user,teleport,generate,explain,technology,module,discussion,half,artistic,new,response
